playerid,Name_x,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2022 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
1157,Tommy Hunter,NYM,0,1,0,18,0,22.1,8.865672904,2.417910792,1.611940528,0.274193548,0.88785047,0.4,0.133333333,2.417910792,4.53,4.276610272,3.93680793,-0.010484426,0.04584527,93.41710663,-1.102056403,0.46131805,91.17431337,1.215639099,0.3495702,93.13543801,1.433483835,0.00286533,88.03769684,0.0,,,,0.14040115,84.36001276,-2.251775049,,,,,,,,,,,,,,,107.114,99.54545455,84.7064,,,96.13726708,,93.79541547,106.4452722,103.6547278,,Tommy Hunter,RP,R,R,NYM,36,12.156,-0.010484426,,,0,,,NYM,1.0,696236.0,696236.0
1247,Adam Ottavino,NYM,6,3,3,66,0,65.2,10.82741284,2.192893741,0.822335153,0.276315789,0.89108911,0.518987341,0.12,2.055837882,2.35,2.853547713,2.79291527,1.140953183,0.12181303,94.80884357,-4.750175815,0.05382436,87.77555339,0.070216864,0.32577904,94.24698822,7.284161635,0.07176582,88.99290707,-0.623795785,0.42681775,81.04046253,9.690104719,,,,,,,,,,,,,,,,,114.0026667,,89.34031008,100.7452174,134.3452747,,69.13636364,,113.0445498,96.89393365,102.6314692,,Adam Ottavino,RP,S,R,NYM,37,11.087,1.140953183,,1.0,6000000,6000000.0,,NYM,2.0,14500000.0,7250000.0
1581,Sean Doolittle,WSN,0,0,0,6,0,5.1,10.12500241,0.0,0.0,0.090909091,1.0,0.272727272,0.0,0.0,1.07,0.862430465,3.082985101,0.272601485,0.74545455,93.51330269,2.648400187,,,,,,,,,,0.21818182,78.34973145,0.73210372,,,,,,,0.03636364,80.64265442,-0.085583355,,,,,,,,,109.4,98.80487805,,,,,-51.6,95.64727273,107.4818182,107.6163636,,Sean Doolittle,RP,L,L,WSN,36,10.122,0.272601485,,,0,,,WSN,1.0,0.0,
1890,Matt Moore,TEX,5,2,5,63,0,74.0,10.09459564,4.621622098,0.364864902,0.25698324,0.81145585,0.438888888,0.042253521,1.945946147,2.83,2.977295853,3.870623346,1.349560261,0.44951923,93.96967608,5.767125931,,,,,,,0.16826923,85.07719494,4.773863737,,,,0.38221154,83.63497445,3.440538488,,,,,,,,,,,,,,144.2147619,,110.1768271,,,116.5937107,,,118.3452285,96.75982358,101.1303929,,Matt Moore,RP,L,L,TEX,34,10.0,1.349560261,,1.0,5000000,5000000.0,,LAA,1.0,7550000.0,7550000.0
1943,Zack Greinke,KCR,4,9,0,26,26,137.0,4.795620438,1.773722628,0.919708029,0.305555556,0.72879331,0.4125,0.082352941,3.678832117,4.78,4.032139031,4.540626612,1.938260436,0.38996479,89.24946212,3.612229843,0.00044014,87.84100342,0.154188305,0.02420775,89.62001953,-3.072911162,0.16461268,86.60591786,-6.09881229,0.21742958,84.47575595,-3.664493255,0.20246479,72.12098336,5.844643112,0.00088028,65.16604614,-0.670157686,,,,,,,,,,,98.25695187,96.454329,80.95931034,66.56862745,119.3285714,,100.1197674,,92.09969163,103.5923348,99.86475771,,Zack Greinke,SP,R,R,KCR,39,18.057,1.938260436,,1.0,10000000,10000000.0,,KCR,1.0,8500000.0,8500000.0
2036,Clayton Kershaw,LAD,12,3,0,22,22,126.1,9.759894852,1.638522493,0.712401084,0.267912773,0.79439252,0.47112462,0.09090909,2.279683469,2.51,2.566256837,2.826209099,3.861314297,0.40119435,90.75988456,10.93777276,,,,0.00271444,91.38458252,-0.589170128,0.00597177,84.15239924,-1.73435038,0.4267101,86.65540514,10.43638984,0.16340934,73.24236919,5.544363767,,,,,,,,,,,,,,84.07272727,120.5598007,102.3865489,81.3,130.4899491,,,,117.1702336,103.6569799,106.0373167,,Clayton Kershaw,SP,L,L,LAD,35,14.105,3.861314297,,1.0,20000000,20000000.0,,LAD,1.0,20000000.0,20000000.0
2429,Corey Kluber,TBR,10,10,0,31,31,164.0,7.62804878,1.152439024,1.097560976,0.316633267,0.70165746,0.360784313,0.093457943,4.335365854,4.0,3.569748075,3.91608376,3.106763124,0.01192434,89.12317315,0.79319644,0.34457237,86.54899127,5.762678798,0.27138158,89.14068419,-9.55275853,0.10197368,83.15613974,3.167048641,0.26973684,80.97445455,-4.744805552,,,,,,,,,,,,,,,,0.00041118,76.78214286,123.9118087,63.94444444,70.58677812,,,99.69499404,,95.61153219,103.5668297,103.5664222,,Corey Kluber,SP,R,R,TBR,37,10.074,3.106763124,,1.0,11000000,11000000.0,,BOS,1.0,10000000.0,10000000.0
2608,Jhoulys Chacín,COL,4,2,0,35,0,47.1,7.035212591,3.992958497,1.330986166,0.315789474,0.49853372,0.392405063,0.116666666,7.605635233,4.74,4.929332752,4.883322128,-0.242646515,0.09160305,92.75101047,-1.446499713,0.27735369,87.17199147,-1.604737941,0.35368957,93.04540664,-6.459937096,0.02544529,85.46794434,0.00821941,0.19465649,80.16648795,-1.728185415,0.05725191,79.55379774,0.997614294,,,,,,,,,,,,,,50.44285714,139.4030928,70.05362319,73.45658363,102.7909502,,,,97.01679389,97.14910941,95.60038168,,Jhoulys Chacín,RP,R,R,COL,35,10.087,-0.242646515,,,0,,,,,,
3096,Kenley Jansen,ATL,5,2,41,65,0,64.0,11.95312571,3.093750184,1.125000067,0.258741259,0.76124567,0.299319727,0.098765432,3.375000201,2.34,3.206181007,3.454773549,1.052234292,,,,0.64435564,92.18273983,12.02896309,0.22477522,93.58852431,-3.209667839,,,,0.13086913,81.12674439,-0.161834609,,,,,,,,,,,,,,,,,,,,82.53963134,103.5122137,,145.9689127,,125.7702405,102.0334669,105.8138277,,Kenley Jansen,RP,S,R,ATL,35,12.073,1.052234292,,1.0,12000000,12000000.0,,BOS,2.0,32000000.0,16000000.0
3237,T.J. McFarland,STL,0,0,0,28,0,32.2,4.408164123,3.030612835,1.377551289,0.333333333,0.60416667,0.530434782,0.166666666,6.612246185,6.13,5.316513063,4.686239944,-0.332481891,,,,,,,0.62833676,88.94517846,-3.208515145,0.21971253,81.97356893,-4.392762076,0.15195072,79.65181588,1.617616225,,,,,,,,,,,,,,,,,66.60934579,,,50.81176471,92.17702703,,,,61.00103734,94.87738589,89.88672199,,T.J. McFarland,RP,L,L,STL,34,7.072,-0.332481891,,,0,,,NYM,1.0,0.0,
3240,Zack Britton,NYY,0,0,0,3,0,0.2,13.50001408,81.00008449,0.0,0.5,0.85714286,0.5,0.0,13.50001408,20.25,27.11245604,27.11245604,-0.204938352,0.05555556,92.24984741,-0.049544901,,,,0.75,92.817636,-2.165739425,,,,0.19444444,78.63135638,0.352347199,,,,,,,,,,,,,,,,,,,,54.5137931,109.1142857,,,,65.85897436,48.78717949,48.61794872,,Zack Britton,RP,L,L,NYY,35,10.158,-0.204938352,,1.0,5000000,5000000.0,,,,,
3281,Joe Smith,MIN,1,1,0,34,0,27.1,5.597562798,2.963415599,2.304878799,0.295454545,0.75301205,0.574468085,0.269230769,4.609757599,5.24,6.295358867,4.374246211,-0.836775601,0.30888889,86.19840378,-0.82459579,,,,0.41777778,83.7006732,-0.31391063,,,,0.27333333,76.90593242,-4.568656079,,,,,,,,,,,,,,,,,,,95.93381295,90.85478723,98.81707317,,,,94.6,99.94266667,100.1462222,,Joe Smith,RP,R,R,MIN,39,13.091,-0.836775601,,,0,,,,,,
3284,Aníbal Sánchez,WSN,4,6,0,14,14,69.1,6.230769688,4.28365416,1.687500124,0.216494845,0.78590786,0.379310344,0.142857142,4.28365416,4.65,5.76627735,5.271762157,-0.242740616,0.20373377,89.41224166,-0.810038079,0.24107143,87.09350011,3.75202712,0.18506494,89.03961075,0.707575131,0.22077922,82.067907,0.450147934,0.05600649,82.71734177,-0.93087551,0.05438312,75.23168581,-0.616980057,,,,0.03896104,67.44837952,-1.6577003,,,,,,,,94.38952381,61.4942029,48.31304348,33.33446809,78.94571429,,68.30327381,,65.20446429,96.52045455,87.64707792,,Aníbal Sánchez,SP,R,R,WSN,39,15.083,-0.242740616,,,0,,,,,,
4301,Justin Wilson,CIN,0,1,0,5,0,3.2,17.18182675,0.0,0.0,0.5,0.66666667,0.5,0.0,2.454546678,1.46,-0.70575272,0.101721903,0.203734219,0.35185185,95.34881913,1.572824515,0.33333333,91.73150635,0.476060379,,,,,,,0.31481481,86.12708238,-0.974980306,,,,,,,,,,,,,,,,,,,103.2578947,,100.5117647,,103.5222222,,102.4814815,107.8777778,112.4555556,,Justin Wilson,RP,L,L,CIN,35,10.035,0.203734219,,,0,,,MIL,1.0,1000000.0,1000000.0
4806,Rich Hill,BOS,8,7,0,26,26,124.1,7.890080752,2.678284292,1.085790929,0.304709141,0.68275862,0.40161725,0.10067114,4.270777655,4.08,3.916720579,4.122417969,1.787755728,0.35628141,88.71037002,-9.260030765,0.12964824,84.35888293,2.299328621,0.02110553,83.68370419,1.228623576,0.02160804,82.31705918,0.604004279,0.10703518,69.49964697,-2.254300799,0.36180905,72.01429579,1.439638041,0.00201005,63.52375031,0.221954301,,,,,,,,,,0.00050251,83.54166667,117.6922316,89.03403955,-65.6,72.0014218,,87.80700389,,96.90971022,98.98118963,99.55160142,,Rich Hill,SP,L,L,BOS,43,13.127,1.787755728,,1.0,5000000,5000000.0,,PIT,1.0,8000000.0,8000000.0
5097,Anthony Gose,CLE,3,0,0,22,0,21.0,12.00000218,6.00000109,1.714286026,0.244444444,0.69672131,0.265306122,0.16,4.714286571,5.04,5.064812309,4.350966231,-0.171638921,0.64781491,97.27127511,-5.79087862,,,,,,,0.00257069,88.52519989,-0.058170788,0.3496144,86.35062902,3.896567248,,,,,,,,,,,,,,,,,157.4,,94.88214286,,97.39338235,,,,95.8625,87.75531915,91.21462766,,Anthony Gose,RP,L,L,CLE,32,3.139,-0.171638921,,,0,,,CLE,1.0,0.0,
5114,Jeurys Familia,- - -,2,3,0,48,0,44.1,8.323309405,4.466166022,1.421052825,0.386363636,0.66481994,0.478260869,0.166666666,6.090226394,4.87,4.93949892,4.289322477,-0.320091404,0.24112607,95.60812827,0.495430544,,,,0.499388,95.26426068,-9.999061827,,,,0.14932681,88.86660366,-1.033602055,,,,,,,0.11015912,92.19118652,-0.773591448,,,,,,,,,,74.43553429,79.86490765,85.51487603,,,102.4491525,82.63843329,94.80428397,95.98212974,,Jeurys Familia,RP,R,R,BOS,33,9.023,-0.320091397,,,0,,,OAK,1.0,282258.0,282258.0
5358,Jose Alvarez,SFG,2,1,1,21,0,15.1,8.804350747,5.282610448,1.760870149,0.29787234,0.75630252,0.468085106,0.1875,5.282610448,7.22,5.851562345,4.852817044,-0.387429684,0.04029304,91.16827393,-0.501029648,,,,0.50915751,90.7527681,-1.446974996,0.35164835,81.4050649,-1.433978572,0.0989011,80.24940321,-0.373465423,,,,,,,,,,,,,,,,,84.10416667,,66.58181818,78.1618705,65.79259259,,,,78.61753731,93.13171642,89.43358209,,Jose Alvarez,RP,L,L,SFG,34,8.035,-0.387429684,,,0,,,DET,1.0,0.0,
5372,Michael Pineda,DET,2,7,0,11,11,46.2,5.014285988,1.542857227,2.507142994,0.294117647,0.73221757,0.391566265,0.180555555,5.785714601,5.9,6.133859738,4.796429602,-0.438637376,0.59233926,90.11641166,-8.106992897,,,,,,,0.19288646,85.53929798,-3.62073468,0.21477428,80.88068521,1.314194001,,,,,,,,,,,,,,,,,48.15744681,,63.0595843,,126.2343949,,,,73.75986301,105.6926027,94.13068493,,Michael Pineda,SP,R,R,DET,34,9.165,-0.438637376,,,0,,,,,,
5448,Jesse Chavez,- - -,4,3,0,60,1,69.1,9.605770596,2.596154215,1.038461686,0.333333333,0.71782178,0.387755102,0.119402985,3.764423612,4.31,3.386469502,3.317018772,0.72154511,0.00496689,91.02268473,-0.266458202,0.58195364,89.10678357,7.196179379,0.26655629,91.28736792,-10.17210891,0.12913907,85.46834701,0.003658906,,,,0.01738411,77.05123175,0.520496186,,,,,,,,,,,,,,69.59935484,81.79047619,40.55454545,98.37665615,,,104.6829545,,97.72103058,105.6355212,100.6131462,,Jesse Chavez,RP,R,R,ATL,39,12.038,0.7215451,,,0,,,ATL,1.0,1200000.0,1200000.0
6345,Chris Archer,MIN,2,8,0,25,25,102.2,7.363636546,4.207792312,1.051948078,0.25862069,0.67656766,0.436666666,0.108108108,4.558441671,4.81,4.485807659,4.5668564,0.544535339,0.35590375,93.15027393,-10.01090162,,,,0.00111919,93.43804932,0.003434662,0.14717403,87.01691718,1.000905737,0.4432009,88.82358744,8.570665423,0.05260213,81.77067404,0.814599629,,,,,,,,,,,,,,74.91254753,110.0542553,84.50830721,,142.2469697,,,,109.787856,96.00376142,96.36534121,,Chris Archer,SP,R,R,MIN,34,9.156,0.544535339,,1.0,4000000,4000000.0,,,,,
6398,Trevor May,NYM,2,0,1,26,0,25.0,10.80000082,3.240000247,1.44000011,0.338235294,0.72368421,0.291666666,0.121212121,5.040000385,3.64,3.87243106,3.746518663,0.108749412,0.52473118,96.15668225,-4.520180669,,,,,,,0.15913978,87.26928711,1.748825021,0.26451613,84.89896945,0.935685545,,,,,,,0.0516129,87.33707682,0.43189466,,,,,,,,98.41891892,,112.9918033,,107.395935,,,143.2217391,110.8447312,99.24774194,101.1387097,,Trevor May,RP,R,R,NYM,33,8.012,0.108749412,,,0,,,OAK,1.0,7000000.0,7000000.0
6655,Craig Kimbrel,LAD,6,7,22,63,0,60.0,10.80000069,4.200000267,0.600000038,0.311258278,0.67602041,0.397350993,0.058823529,3.750000238,3.49,3.229097676,4.040183052,0.882327855,0.68494424,95.79506233,1.1828245,,,,,,,,,,0.04832714,86.35091459,-0.730726432,0.26672862,85.62097806,1.887296356,,,,,,,,,,,,,,,,115.902981,,,111.8536873,,,114.6284123,101.5839369,104.3073352,,Craig Kimbrel,RP,R,R,LAD,35,11.161,0.882327855,,1.0,9000000,9000000.0,,PHI,1.0,10000000.0,10000000.0
6661,Alex Colomé,COL,2,7,4,53,0,47.0,6.127660072,4.212766299,0.957446886,0.333333333,0.59722222,0.55625,0.113636363,5.744681317,5.75,4.537963032,4.540862049,-0.096597455,0.15586035,94.539125,-5.031062584,0.84413965,90.84309223,-3.319052201,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2584,,,,80.43220089,,79.30561097,94.49775561,90.51209476,,Alex Colomé,RP,R,R,COL,34,8.118,-0.096597455,,,0,,,WSN,1.0,0.0,
6893,Johnny Cueto,CHW,8,10,0,25,24,158.1,5.797894923,1.875789534,0.852631606,0.294949495,0.74860335,0.425742574,0.077319587,3.353684318,4.02,3.794536287,4.376799449,2.38908755,0.19224283,91.48750867,7.96402014,0.09907251,87.41329995,-7.141392261,0.23819562,91.39913017,1.983499281,0.20151771,82.56894547,-0.706292652,0.22386172,85.2238319,1.191491213,0.04510961,79.64868392,1.706843536,,,,,,,,,,,,,,67.79601677,63.98,75.74829787,82.1876588,82.62769231,,63.71151386,,74.46810647,102.9992037,97.18066522,,Johnny Cueto,SP,R,R,CHW,37,14.143,2.389087439,,1.0,8000000,8000000.0,,MIA,1.0,8500000.0,8500000.0
6895,Chase Anderson,CIN,2,4,0,9,7,24.0,8.625000685,5.625000447,1.125000089,0.237288136,0.55194805,0.516129032,0.157894736,6.375000507,3.75,5.070764491,4.617723566,0.076841921,0.30020284,92.07575288,1.242792372,0.1643002,90.11247046,-1.708382603,0.09330629,92.2448475,-2.544039514,0.28397566,82.93749651,2.801499721,0.07910751,83.55997721,0.33493894,0.07910751,77.86970559,-1.044031851,,,,,,,,,,,,,,136.2285714,57.89210526,77.09923664,62.97407407,110.6404762,,86.97954545,,95.49959432,95.94868154,95.69675456,,Chase Anderson,SP,R,R,CIN,35,7.161,0.076841913,,,0,,,CIN,1.0,0.0,
6902,Martín Pérez,TEX,12,8,0,32,32,196.1,7.747029063,3.162988197,0.504244495,0.295053004,0.77020202,0.514184397,0.06547619,2.887945745,3.59,3.265232364,3.803612988,3.874843121,0.06475548,92.91138713,1.800391532,0.24080944,89.85500372,9.978894513,0.36863406,92.65475612,5.714313794,0.27689713,84.42678517,4.296582002,0.01416526,84.30133929,1.33603568,0.03473862,78.86737712,-4.297460392,,,,,,,,,,,,,,75.29890644,93.35480769,65.37552743,96.46720686,101.7904762,,78.57720994,,83.71118952,102.8171371,94.88081317,,Martín Pérez,SP,L,L,TEX,32,10.038,3.874843121,,3.0,39000000,13000000.0,19650000.0,TEX,1.0,19650000.0,19650000.0
6986,Ian Kennedy,ARI,4,7,10,57,0,50.1,7.867550464,3.933775232,1.966887616,0.298701299,0.72755418,0.243902439,0.139240506,5.364238953,6.13,5.57600741,5.058441455,-0.951471806,0.81300813,93.21959263,0.719171055,0.02090592,85.66501872,-2.848930977,,,,0.0116144,86.48543091,-1.537429038,0.0174216,81.04856771,-0.583043296,0.04065041,78.7851702,-2.328857582,,,,0.09639954,85.33016049,-3.216740645,,,,,,,,52.33333333,,88.54071429,,,106.8942857,88.68888889,,88.1378316,100.8622837,98.0472895,,Ian Kennedy,RP,R,R,ARI,38,13.124,-0.951471806,,,0,,,TEX,1.0,508063.0,508063.0
7274,Craig Stammen,SDP,1,2,0,33,1,40.2,7.74590285,2.2131151,1.99180359,0.297520661,0.78828829,0.5078125,0.23076923,4.4262302,4.08,5.153414927,3.696064046,-0.399088003,,,,0.22253923,87.82316648,-3.107104421,0.55064194,91.41120049,0.844809294,0.01997147,86.32121931,-0.00117952,0.11982882,81.32975478,-0.826788347,0.08701854,79.79455266,-2.101720862,,,,,,,,,,,,,,42.62631579,,39.775,71.6015873,105.5647727,106.3982456,79.07483871,,79.46284118,103.0942746,97.11889941,,Craig Stammen,RP,R,R,SDP,39,11.16,-0.399087995,,,0,,,SDP,1.0,0.0,
7432,Jay Jackson,ATL,0,0,0,2,0,1.1,6.750001609,0.0,0.0,0.25,1.0,0.0,0.0,0.0,1.14,1.612430644,3.832985279,0.046840079,0.41666667,92.40203857,-0.041205302,,,,,,,,,,0.58333333,83.77242606,0.539421532,,,,,,,,,,,,,,,,,,,68.0,,91.2,,,,81.53333333,88.38333333,91.65,,Jay Jackson,RP,R,R,ATL,35,1.105,0.046840079,,,0,,,TOR,1.0,0.0,
7593,Jordan Lyles,BAL,12,11,0,32,32,179.0,7.240223464,2.61452514,1.30726257,0.3125,0.73770492,0.402116402,0.114035087,4.424581006,4.91,4.397347203,4.394689237,1.408814311,0.32797858,91.93292411,-4.176963359,,,,0.16499331,90.83983583,-3.663265206,0.10742972,86.50432608,-6.99128921,0.26572959,80.66020545,1.419676561,0.13386881,79.25730957,-0.284213547,,,,,,,,,,,,,,67.80815047,83.806,76.93645943,77.98761905,118.2213687,,93.55316456,,87.20368139,100.6489625,96.98329987,,Jordan Lyles,SP,R,R,BAL,32,11.002,1.408814311,,1.0,6000000,6000000.0,,KCR,2.0,17000000.0,8500000.0
7608,Tommy Milone,SEA,1,1,0,7,0,16.2,2.700000103,3.240000124,2.160000082,0.188679245,0.71428571,0.285714285,0.129032258,5.400000206,5.49,6.892431146,6.525918223,-0.337277532,0.35714286,86.79600758,0.047353804,0.06302521,85.19951172,0.459983874,,,,0.38655462,79.00495712,-1.886513952,0.07563025,78.72138808,0.795543145,0.11764706,76.08488246,-0.929244664,,,,,,,,,,,,,,68.43043478,38.02857143,89.437,,89.33333333,,,,75.26092437,105.8819328,98.71554622,,Tommy Milone,SP,L,L,SEA,36,8.07,-0.337277532,,,0,,,SEA,1.0,0.0,
7738,Wily Peralta,DET,2,0,0,28,1,38.1,7.513044475,5.634783356,0.46956528,0.293577982,0.83629893,0.463636363,0.055555555,2.582609038,4.14,4.077648521,4.789647708,0.021111984,0.26217765,95.4642414,-0.976851981,,,,0.22922636,95.58140259,2.169730227,,,,0.2965616,83.6881189,3.182172246,,,,,,,0.20630372,82.73917898,-1.609269626,,,,,,,0.00573066,,,68.19790576,74.38815789,116.9516908,,,82.5,87.01497516,96.02357051,91.54124967,,Wily Peralta,RP,R,R,DET,34,6.105,0.021111984,,,0,,,WSN,1.0,0.0,
7836,Hunter Strickland,CIN,3,3,7,66,0,62.1,8.663102311,4.764706271,1.155080308,0.301136364,0.71269488,0.342391304,0.102564102,4.90909131,5.38,4.780880336,4.964872011,0.049993064,0.53604436,95.19911099,-2.643203992,,,,0.04251386,93.09802777,0.063784502,0.03142329,89.83880974,-0.927631613,0.39001848,84.90085345,-2.914010767,,,,,,,,,,,,,,,,,69.296875,,89.00440367,84.00540541,94.5853012,,,,90.3857277,95.7970892,96.71530516,,Hunter Strickland,RP,R,R,CIN,34,7.033,0.049993064,,,0,,,CIN,1.0,0.0,
8048,Will Smith,- - -,0,3,5,65,0,59.0,9.915255519,3.813559815,1.372881533,0.30625,0.69060773,0.351515151,0.121621621,3.966102208,3.57,4.264973524,4.138657166,-0.162534446,0.40913706,92.12433361,-6.409125362,,,,0.00812183,90.6733017,-0.073497392,0.00913706,86.93793403,0.579687342,0.4822335,81.62840049,3.549034789,0.09137056,76.84878879,-3.700789388,,,,,,,,,,,,,,70.2,48.79555556,71.86423174,,112.0766316,,,,89.25461929,99.35553299,99.04426396,,Will Smith,RP,R,L,HOU,33,9.155,-0.162534446,,,0,,,TEX,1.0,1500000.0,1500000.0
8110,Bryan Shaw,CLE,6,2,1,60,2,58.1,8.022858236,4.011429118,1.388571618,0.288235294,0.66312997,0.497206703,0.155172413,5.400000736,4.74,4.878145528,4.34434132,-0.482151279,0.51805986,94.14247989,-1.813409816,0.25077399,90.74671804,2.669620916,0.05366357,93.10699756,-0.172391411,0.02889577,82.02080481,-0.164323438,0.05366357,84.6259437,-0.194344629,0.0877193,82.78054415,-5.257630706,,,,0.00722394,88.72098214,0.43515237,,,,,,,,80.31785714,99.62222222,,54.91982446,100.2983051,,100.8303523,,97.15887802,94.03738287,97.17012779,,Bryan Shaw,RP,S,R,CLE,35,9.152,-0.48215127,,,0,,,CHW,1.0,0.0,
8241,David Robertson,- - -,4,3,20,58,0,63.2,11.45026224,4.947644177,0.848167573,0.237410072,0.86005831,0.465277777,0.103448275,2.403141457,3.05,3.583635209,3.7071131,0.716258973,,,,0.51156069,93.25236324,-0.503567465,,,,,,,0.21579961,84.09957014,2.143558227,0.27263969,84.8393917,6.485387608,,,,,,,,,,,,,,,,,,98.74067797,143.3883803,118.7829314,,120.9015896,96.09389279,102.1395678,,David Robertson,RP,R,R,PHI,38,13.119,0.716259003,,1.0,5000000,5000000.0,,NYM,1.0,10000000.0,10000000.0
8700,Justin Verlander,HOU,18,4,0,28,28,175.0,9.514285714,1.491428571,0.617142857,0.239631336,0.804769,0.379232505,0.062176165,1.748571429,2.66,2.489573859,3.230781259,6.057393551,0.5044112,95.09869297,27.62080079,,,,,,,0.02416571,86.25444878,0.373355921,0.283084,87.48029937,9.987490006,0.18833909,79.10073511,8.591000464,,,,,,,,,,,,,,84.73650794,119.4232179,135.8353612,,147.5355014,,,,134.8340376,107.3697657,112.6036881,,Justin Verlander,SP,R,R,HOU,40,17.002,6.057393551,,2.0,70000000,35000000.0,,NYM,3.0,121666666.0,43333333.0
8779,Wade Miley,CHC,2,2,0,9,8,37.0,6.810810811,3.405405405,0.72972973,0.25,0.63084112,0.526315789,0.078947368,3.162162162,3.86,3.95026884,4.416594173,0.508916723,0.14664311,89.15902158,1.411978308,0.42402827,85.25101191,-0.280140687,0.0229682,88.40743314,-0.06008203,0.31272085,81.54435135,0.098355863,0.06537102,79.00744299,2.072828997,0.02826855,73.45545959,-0.353580143,,,,,,,,,,,,,,114.4367232,87.48,97.835,57.59285714,111.4837838,,103.0954357,,104.9052367,105.0548979,104.4504118,,Wade Miley,SP,L,L,CHC,36,11.025,0.508916736,,1.0,7000000,7000000.0,,MIL,1.0,4500000.0,4500000.0
9111,Brad Hand,PHI,3,2,5,55,0,45.0,7.600001289,4.60000078,0.400000068,0.271317829,0.75949367,0.403100775,0.042553191,2.800000475,4.4,3.934653363,4.903039349,0.287840486,0.29008568,92.79481474,-0.6982449,,,,0.18849449,92.55516944,4.931880612,,,,0.52019584,79.40883272,-2.430128708,,,,,,,,,,,,,,,,0.00122399,,,78.78347826,96.26751592,92.14847059,,,,88.925,92.58529412,92.94656863,,Brad Hand,RP,L,L,PHI,33,9.092,0.287840486,,,0,,,COL,1.0,3000000.0,3000000.0
