playerid,Name_x,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV,Name_y,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,MLBAMID
18655,A.J. Minter,RP,L,L,ATL,31,6.2,-0.1,0.5,1.0,"$5,000,000","$5,000,000",,NYM,2.0,"$22,000,000","$11,000,000",A.J. Minter,ATL,5,4,1,39,0,34.1,9.174758640735018,2.883495572802434,1.572815766983146,0.2222222222222222,0.94202899,0.458823529,0.166666666,94.75761640311244,2.621359611638576,3.31,4.448033366201988,3.7615954768597617,-0.0537252686917781,A.J. Minter,621345
16258,Aaron Bummer,RP,L,L,ATL,31,6.2,1.1,0.7,,$0,,,ATL,2.0,"$13,000,000","$6,500,000",Aaron Bummer,ATL,4,3,0,56,0,55.1,11.222894145297808,2.9277115161646456,0.3253012795738495,0.3856209150326797,0.72890026,0.597315436,0.071428571,93.72344970703124,3.578314075312345,2.8,2.226720526187563,2.521953763445943,1.0936263799667358,Aaron Bummer,607481
15288,Adam Cimber,RP,R,R,LAA,34,6.1,0.0,-0.2,,$0,,,,,,,Adam Cimber,LAA,3,0,0,28,0,24.1,7.027398729172533,5.178083274127129,0.3698630910090806,0.2835820895522388,0.54404145,0.447761194,0.047619047,85.33611778846154,7.027398729172533,5.53,4.604836243325109,5.37547379607817,-0.0434996746480464,Adam Cimber,643256
1247,Adam Ottavino,RP,S,R,NYM,39,13.1,0.5,0.2,,$0,,,,,,,Adam Ottavino,NYM,2,2,1,60,0,56.0,11.250002299036767,3.6964293268263666,0.9642859113460088,0.3093525179856115,0.7082153,0.433566433,0.1,93.21128558168316,4.339286601057039,3.19,3.666479880469207,3.8936317906988376,0.4579032063484192,Adam Ottavino,493603
17859,Adbert Alzolay,RP,R,R,CHC,30,4.1,-0.8,0.0,,$0,,,,,,,Adbert Alzolay,CHC,1,4,4,18,0,17.1,6.75000123794285,3.1153851867428535,3.1153851867428535,0.2653061224489796,0.73863636,0.418181818,0.260869565,95.06507895026408,4.67307778011428,6.79,7.378019012219949,4.884337401598944,-0.8138180375099182,Adbert Alzolay,640470
12988,Andrew Chafin,RP,R,L,TEX,35,10.0,0.4,0.2,,$0,,,,,,,Andrew Chafin,- - -,4,3,1,62,0,56.1,11.183434477006918,4.952663839817349,0.798816748357637,0.3381294964028777,0.75324675,0.361111111,0.086206896,91.86337753080986,3.514793692773603,3.64,3.5392609275233595,3.942157247356967,0.4218628406524658,Andrew Chafin,605177
12828,Andrew Kittredge,RP,R,R,STL,35,6.1,0.3,0.2,1.0,"$3,000,000","$3,000,000",,BAL,1.0,"$10,000,000","$10,000,000",Andrew Kittredge,STL,5,5,1,74,0,70.2,8.533021017511732,2.547170452988577,1.2735852264942884,0.2631578947368421,0.81818182,0.451776649,0.14084507,,2.801887498287434,3.97,3.958932808108464,3.6384506072106406,0.3133000433444977,Andrew Kittredge,552640
10233,Aroldis Chapman,RP,L,L,PIT,37,14.0,1.1,0.8,1.0,"$10,000,000","$10,000,000",,BOS,1.0,"$10,750,000","$10,750,000",Aroldis Chapman,PIT,5,5,14,68,0,61.2,14.302704177310446,5.691892478725586,0.7297298049648187,0.3223140495867768,0.69230769,0.448,0.106382978,97.87747637599468,3.794594985817058,2.98,3.0367500351849386,3.1350915873633136,1.1082288026809692,Aroldis Chapman,547973
13801,Austin Adams,RP,R,R,ATH,34,5.2,0.0,0.1,,$0,,,BOS,1.0,$0,,Austin Adams,OAK,1,2,0,56,0,41.1,11.540326130875044,5.00806605679483,0.8709680098773618,0.3469387755102041,0.78947368,0.366336633,0.102564102,93.60516906415344,3.919356044448128,4.08,4.472931793105837,4.64152042180829,0.0149383824318647,Austin Adams,613534
15047,Austin Voth,RP,R,R,SEA,33,5.1,0.0,0.0,,$0,,,,,,,Austin Voth,SEA,2,5,0,68,0,61.0,9.000001125648515,2.6557380370766106,1.3278690185383053,0.2356687898089172,0.66176471,0.347560975,0.128571428,93.7398961715368,3.6885250514952928,3.14,4.117299569341915,3.934358373273065,0.0158536061644554,Austin Voth,608723
12572,Blake Treinen,RP,R,R,LAD,37,10.1,1.0,0.6,1.0,"$8,000,000","$8,000,000",,LAD,2.0,"$22,000,000","$11,000,000",Blake Treinen,LAD,7,3,1,50,0,46.2,10.800000588553324,2.1214286870372603,0.9642857668351182,0.2545454545454545,0.8974359,0.447368421,0.111111111,94.19412157012196,1.9285715336702365,2.41,2.995051197519107,3.0602021642120674,0.9828249216079712,Blake Treinen,595014
13942,Brent Suter,RP,L,L,CIN,35,7.2,0.2,-0.1,,$0,,,CIN,1.0,"$2,500,000","$2,500,000",Brent Suter,CIN,1,0,2,47,3,65.2,6.852792541658095,1.6446702099979431,1.3705585083316192,0.2717948717948718,0.828125,0.408866995,0.12345679,,3.152284569162724,4.2,4.308611868566144,4.1939826326551515,0.2098555117845535,Brent Suter,608718
10061,Brooks Raley,RP,L,L,NYM,37,5.0,0.3,0.1,1.0,"$4,000,000","$4,000,000",,,,,,Brooks Raley,NYM,1,0,0,8,0,7.0,11.57143014791082,3.85714338263694,0.0,0.1538461538461538,1.0,0.307692307,0.0,,0.0,3.24,1.8807653174108157,3.6087751599441784,0.300667405128479,Brooks Raley,548384
14814,Buck Farmer,RP,L,R,CIN,34,7.1,0.6,0.0,,$0,,,,,,,Buck Farmer,CIN,3,2,1,61,1,71.0,8.873240390104954,3.676056733043481,0.8873240390104954,0.2634408602150537,0.81508516,0.357894736,0.086419753,92.87059364318849,3.042253848035984,4.14,3.997465783077402,4.440743026540897,0.5737821161746979,Buck Farmer,571656
12784,Burch Smith,RP,R,R,BAL,35,5.1,0.3,0.0,,$0,,,PIT,1.0,$0,,Burch Smith,- - -,4,1,0,50,0,56.1,7.349113836061999,1.9171601311466084,0.9585800655733042,0.3314285714285714,0.63218391,0.438202247,0.092307692,95.11741420200892,4.952663672128739,4.46,3.663521293772249,4.023531062331743,0.3394497483968735,Burch Smith,572143
19349,Caleb Ferguson,RP,R,L,HOU,28,6.1,0.3,0.4,1.0,"$3,000,000","$3,000,000",,PIT,1.0,"$3,000,000","$3,000,000",Caleb Ferguson,- - -,1,4,1,62,0,54.1,11.098162885703749,4.14110555436707,0.9938653330480968,0.3401360544217687,0.66579634,0.467105263,0.133333333,93.91943971256266,4.638038220891119,4.11,3.7370320991137023,3.553726122117466,0.286290718242526,Caleb Ferguson,657571
10078,Caleb Thielbar,RP,R,L,MIN,38,6.1,0.2,0.4,1.0,"$3,000,000","$3,000,000",,CHC,1.0,"$2,750,000","$2,750,000",Caleb Thielbar,MIN,2,4,3,59,0,47.1,10.077468308115357,4.563381875372991,1.1408454688432477,0.3308270676691729,0.625,0.379562043,0.109090909,93.2335531655844,5.323945521268489,4.17,4.096057567717627,4.2050814580924065,0.1866970956325531,Caleb Thielbar,573204
14542,Carlos Estévez,RP,R,R,PHI,32,8.0,1.2,0.3,2.0,"$18,000,000","$9,000,000",,,,,,Carlos Estévez,- - -,4,5,26,54,0,55.0,8.181818465556004,1.9636364317334412,0.8181818465556004,0.2291666666666666,0.75,0.32885906,0.067567567,96.92242747758964,2.4545455396668014,3.19,3.2392070535391824,4.091727484202306,1.1562808901071548,Carlos Estevez,608032
12763,Chris Devenski,RP,R,R,TBR,34,7.1,-0.7,0.0,,$0,,,NYM,1.0,$0,,Chris Devenski,TBR,2,1,0,19,0,26.2,8.10000077247627,4.725000450611158,3.037500289678601,0.2533333333333333,0.57823129,0.25,0.183673469,93.2190147307982,6.750000643730225,5.9,7.328980175256767,5.719795468225636,-0.6685813069343567,Chris Devenski,606965
11847,Chris Martin,RP,R,R,BOS,39,7.1,0.9,0.7,1.0,"$7,000,000","$7,000,000",,TEX,1.0,"$5,500,000","$5,500,000",Chris Martin,BOS,3,1,2,45,0,44.1,10.150376230982047,0.6090225738589229,1.0150376230982048,0.3529411764705882,0.67391304,0.462809917,0.131578947,94.89652286022168,3.451127918533897,3.41,2.783021120674918,2.6128629075936445,0.9010557532310486,Chris Martin,455119
19403,Colin Poche,RP,L,L,TBR,31,5.1,-0.3,-0.1,,$0,,,,,,,Colin Poche,TBR,1,2,2,43,0,37.1,7.955358226688689,3.1339289983925136,1.6875002299036612,0.23,0.81325301,0.333333333,0.132075471,91.30698902027028,3.85714338263694,3.86,4.880765726128435,4.58977762031728,-0.3196514546871185,Colin Poche,621363
6655,Craig Kimbrel,RP,R,R,BAL,37,13.2,0.1,0.4,1.0,"$6,000,000","$6,000,000",,,,,,Craig Kimbrel,BAL,7,5,23,57,0,52.1,12.55414134752226,5.331210709221781,1.2038217730500795,0.2844827586206896,0.61933535,0.319672131,0.129629629,93.97601241099684,5.331210709221781,4.31,4.179218730220814,4.000526749847051,0.1428905874490738,Craig Kimbrel,518886
13293,Danny Coulombe,RP,L,L,BAL,35,6.0,0.5,0.3,,$0,,,,,,,Danny Coulombe,BAL,1,0,1,33,0,29.2,9.707868497310509,1.516854452704767,0.9101126716228602,0.1791044776119403,0.82278481,0.485714285,0.107142857,90.85235236672794,2.1235962337866736,2.91,2.8294010110220693,2.941858421747514,0.5220526456832886,Danny Coulombe,543056
8241,David Robertson,RP,R,R,TEX,40,15.1,1.9,0.7,1.0,"$10,000,000","$10,000,000",,,,,,David Robertson,TEX,3,4,2,68,0,72.0,12.375001311302324,3.3750003576279064,0.6250000662273901,0.3,0.76923077,0.487804878,0.092592592,,3.0000003178914727,3.19,2.6525908349472744,2.8838193863377555,1.8739523887634275,David Robertson,502085
17496,Diego Castillo,RP,R,R,MIN,31,4.2,0.0,0.0,,$0,,,COL,1.0,$0,,Diego Castillo,MIN,0,0,0,7,0,10.0,5.40000051498418,7.2000006866455735,0.0,0.2758620689655172,0.8125,0.517241379,0.0,96.71319986979168,2.70000025749209,3.97,4.366479892730724,6.18089015323261,0.0250925943255424,Diego Castillo,650895
17796,Dillon Tate,RP,R,R,TOR,31,4.1,0.2,0.0,,$0,,,,,,,Dillon Tate,- - -,2,1,1,33,0,36.2,6.627273704040293,2.9454549795734635,0.4909091632622439,0.3361344537815126,0.67028986,0.495867768,0.057142857,93.89016723632812,4.663637050991317,3.83,3.7119344041367337,4.4461243546487665,0.2139257714152336,Dillon Tate,622253
17755,Drew Smith,RP,R,R,NYM,31,6.0,0.2,0.0,1.0,"$2,000,000","$2,000,000",,,,,,Drew Smith,NYM,1,1,2,19,0,17.2,11.716985348750184,4.584907310380507,1.0188682911956684,0.3555555555555555,0.82644628,0.255319148,0.08,95.13502903988488,3.056604873587005,4.43,3.5627063359769995,4.230643000250978,0.2203801572322845,Drew Smith,622098
11760,Drew Smyly,RP,L,L,CHC,36,12.1,-0.3,0.3,,$0,,,,,,,Drew Smyly,CHC,4,8,0,50,0,58.2,8.590910580532869,3.835227937737887,1.5340911750951551,0.2883435582822086,0.78873239,0.352941176,0.136986301,,3.835227937737887,3.78,4.905116443397637,4.570626845413412,-0.2786603271961212,Drew Smyly,592767
13394,Dylan Floro,RP,L,R,ARI,34,7.1,0.6,0.0,1.0,"$3,000,000","$3,000,000",,,,,,Dylan Floro,- - -,6,4,0,66,0,68.2,6.291263242684536,2.2281557317841068,0.6553399211129726,0.2884615384615384,0.68421053,0.454545454,0.071428571,89.96204502535183,3.800971542455241,3.94,3.5014312935253145,4.096197249159715,0.6024922430515289,Dylan Floro,571670
18403,Enyel De Los Santos,RP,R,R,CHW,29,4.0,-0.9,0.1,,$0,,,ATL,1.0,$0,,Enyel De Los Santos,- - -,1,2,2,64,0,64.0,9.2812520745215,3.515625785803598,2.390625534346446,0.2909090909090909,0.8005618,0.344444444,0.195402298,95.53763710446589,5.203126162989325,5.31,5.963355403440213,4.565616518229076,-0.9470516964793204,Enyel De Los Santos,660853
17490,Génesis Cabrera,RP,L,L,TOR,28,5.0,-0.5,0.0,,$0,,,NYM,1.0,$0,,Génesis Cabrera,TOR,3,3,2,69,0,62.2,7.180852666598773,4.164894546627289,1.4361705333197543,0.2944444444444444,0.7875,0.427807486,0.142857142,96.04533192334254,3.5904263332993867,4.4,5.129246173826793,4.7437235628130665,-0.498635470867157,Genesis Cabrera,650893
14986,Giovanny Gallegos,RP,R,R,STL,33,6.0,-0.5,-0.1,,$0,,,LAD,1.0,$0,,Giovanny Gallegos,STL,2,1,1,21,0,20.2,9.1451641037123,4.354840049386809,2.612904029632085,0.3157894736842105,0.7421875,0.476190476,0.3,92.47981219103109,6.532260074080213,4.65,6.360029147840121,4.049068830021443,-0.4604147970676422,Giovanny Gallegos,606149
11804,Héctor Neris,RP,R,R,HOU,36,9.1,0.0,0.1,,$0,,,,,,,Héctor Neris,- - -,10,5,18,62,0,59.1,9.707866000731908,4.2471913753202095,1.2134832500914885,0.2974683544303797,0.73170732,0.4,0.119402985,93.1996174291237,4.095505969058774,4.31,4.278839424206993,4.233410710484566,0.0190549716353416,Hector Neris,593576
13346,Hoby Milner,RP,L,L,MIL,34,5.1,0.9,0.3,,$0,,,TEX,1.0,"$2,500,000","$2,500,000",Hoby Milner,MIL,5,1,1,61,1,64.2,8.907218946890787,1.9484541446323596,0.8350517762710112,0.3131868131868132,0.58073654,0.519337016,0.115384615,88.92195041363055,4.731960065535731,3.24,3.135551934724202,3.1452081815608537,0.914420835673809,Hoby Milner,571948
7836,Hunter Strickland,RP,R,R,LAA,36,8.0,0.3,-0.1,,$0,,,,,,,Hunter Strickland,LAA,3,2,1,72,0,73.1,6.9954557584339065,2.9454550561826975,1.227272940076124,0.2288557213930348,0.75,0.357142857,0.093457943,94.45367398648648,3.313636938205535,3.49,4.448298182369302,4.881728704784218,0.2581871747970581,Hunter Strickland,519326
12323,Jacob Barnes,RP,R,R,WSN,35,6.1,0.0,0.0,,$0,,,,,,,Jacob Barnes,WSN,8,3,0,63,0,66.0,7.500001733953703,2.7272733578013466,1.3636366789006733,0.296875,0.69863014,0.376237623,0.129870129,95.46886882129276,4.363637372482155,4.91,4.378601270645949,4.172914060654222,0.0202458593994379,Jacob Barnes,606930
19274,Jacob Webb,RP,R,R,BAL,31,4.0,0.6,0.0,,$0,,,TEX,1.0,"$1,250,000","$1,250,000",Jacob Webb,BAL,2,5,2,60,0,56.2,9.211766979653678,4.288236352597402,0.6352942744588744,0.2448979591836734,0.72115385,0.34,0.0625,93.54853562801932,3.0176478036796532,3.51,3.5194210418780587,4.309454260382244,0.6370887160301208,Jacob Webb,657097
5003,Jake Diekman,RP,R,L,NYM,38,12.0,-0.8,0.0,,$0,,,,,,,Jake Diekman,NYM,2,3,4,43,0,32.0,11.250004693867735,6.750002816320641,1.9687508214268536,0.2285714285714285,0.65533981,0.447368421,0.291666666,94.7489752435065,5.625002346933868,5.11,6.135231016949336,4.425486608254779,-0.8106498122215271,Jake Diekman,518617
17192,Jalen Beeks,RP,L,L,PIT,31,6.0,0.6,0.3,,$0,,,,,,,Jalen Beeks,- - -,7,4,10,71,0,70.0,7.071430305559233,3.471429422729078,0.7714287606064618,0.3212669683257919,0.65922921,0.450892857,0.073170731,94.72973188920454,4.500001103537694,3.8,3.995051410052291,4.651975704152948,0.6175431907176971,Jalen Beeks,656222
7432,Jay Jackson,RP,R,R,MIN,37,2.1,-0.3,0.0,,$0,,,,,,,Jay Jackson,MIN,1,2,0,20,0,26.1,9.91139360154956,3.075949738411932,2.3924053520981694,0.3043478260869565,0.47794118,0.355263157,0.21875,92.03648639547414,7.518988249451389,4.74,5.444961066002337,3.826641971873295,-0.2708237171173095,Jay Jackson,543351
17432,Jeff Hoffman,RP,R,R,PHI,32,6.1,2.0,0.9,3.0,"$30,000,000","$10,000,000",,TOR,3.0,"$33,000,000","$11,000,000",Jeff Hoffman,PHI,3,3,10,68,0,66.1,12.075377810329863,2.1708544378121104,0.8140704141795414,0.2781456953642384,0.80204778,0.375796178,0.09375,96.85885847107438,2.1708544378121104,2.87,2.5182385225542343,2.801181328141988,2.04223370552063,Jeff Hoffman,656546
5448,Jesse Chavez,RP,R,R,ATL,41,14.0,-0.2,0.0,,$0,,,,,,,Jesse Chavez,ATL,2,2,0,46,0,63.1,7.815790572126971,2.7000003794620446,1.4210528312958128,0.2793296089385474,0.8030303,0.430851063,0.158730158,,3.126316228850788,4.25,4.42963785055274,3.881056661748712,-0.2028412818908691,Jesse Chavez,445926
9761,Joe Kelly,RP,R,R,LAD,37,12.0,0.0,0.5,1.0,"$5,000,000","$5,000,000",,,,,,Joe Kelly,LAD,1,1,0,35,0,32.0,9.843751173466584,4.500000536441867,1.1250001341104667,0.3253012048192771,0.7112069,0.470588235,0.148148148,98.16278839111328,4.781250569969484,5.11,4.572729945927879,4.223486997044574,-0.0474034771323204,Joe Kelly,523260
11487,Joely Rodríguez,RP,L,L,BOS,33,4.1,-0.1,0.0,,$0,,,,,,,Joely Rodríguez,BOS,0,1,0,14,0,13.2,7.902441046339163,1.317073507723194,1.9756102615847908,0.3478260869565217,0.50561798,0.591836734,0.333333333,,5.926830784754372,4.87,4.922577788587387,3.064631629498595,-0.1086508780717849,Joely Rodriguez,570257
12777,John Brebbia,RP,L,R,ATL,35,7.1,0.1,0.3,,$0,,,,,,,John Brebbia,- - -,0,6,2,59,0,55.1,10.89759249008216,3.090362049426284,1.789156975983638,0.3169014084507042,0.67092652,0.296052631,0.159420289,94.00000919358004,5.855422830491906,4.87,4.5219017297925514,3.823020509471792,0.1387163959443569,John Brebbia,605154
19753,Jonathan Loáisiga,RP,R,R,NYY,30,6.0,0.1,0.4,1.0,"$3,000,000","$3,000,000",,NYY,1.0,"$5,000,000","$5,000,000",Jonathan Loáisiga,NYY,1,0,0,3,0,4.0,6.75,2.25,0.0,0.4375,1.0,0.5625,0.0,98.49819946289062,0.0,4.28,2.416479778289795,3.1724839814007284,0.1487207859754562,Jonathan Loaisiga,642528
