playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,Stuff+,Location+,Pitching+
18655,A.J. Minter,RP,L,L,ATL,31,6.2,5,4,1,39,0,34.1,9.2,2.9,1.6,0.222,94.20%,45.90%,16.70%,2.62,3.31,4.45,3.76,-0.1,105.5,102,102.6
16258,Aaron Bummer,RP,L,L,ATL,31,6.2,4,3,0,56,0,55.1,11.2,2.9,0.3,0.386,72.90%,59.70%,7.10%,3.58,2.8,2.23,2.52,1.1,100.6,101.4,98.5
15288,Adam Cimber,RP,R,R,LAA,34,6.1,3,0,0,28,0,24.1,7,5.2,0.4,0.284,54.40%,44.80%,4.80%,7.03,5.53,4.6,5.38,0,87.7,92.3,97.2
1247,Adam Ottavino,RP,S,R,NYM,39,13.1,2,2,1,60,0,56,11.3,3.7,1,0.309,70.80%,43.40%,10.00%,4.34,3.19,3.67,3.89,0.5,103.5,99.8,101
17859,Adbert Alzolay,RP,R,R,CHC,30,4.1,1,4,4,18,0,17.1,6.8,3.1,3.1,0.265,73.90%,41.80%,26.10%,4.67,6.79,7.38,4.88,-0.8,112.7,98.2,98.5
12718,Adrian Houser,SP,R,R,NYM,32,5.1,1,5,1,23,7,69.1,5.8,4.2,1,0.3,62.80%,48.50%,10.40%,5.84,5.24,4.93,5.11,-0.1,90.8,100.3,96.5
6562,Alex Cobb,SP,R,R,CLE,37,13.1,2,1,0,3,3,16.1,5.5,1.7,0.6,0.271,64.10%,61.20%,7.70%,2.76,5.01,3.29,3.7,0.3,107.1,105.3,107.4
13781,Alex Wood,SP,R,L,ATH,34,11.1,1,3,0,9,9,39.1,7.6,4.3,1.4,0.366,72.10%,36.80%,12.80%,5.26,6.66,5.3,5.13,-0.1,70.6,98.4,93.3
12988,Andrew Chafin,RP,R,L,TEX,35,10,4,3,1,62,0,56.1,11.2,5,0.8,0.338,75.30%,36.10%,8.60%,3.51,3.64,3.54,3.94,0.4,88.8,89.7,92.5
15423,Andrew Heaney,SP,L,L,TEX,34,9.2,5,14,0,32,31,160,8.9,2.3,1.3,0.297,71.20%,33.50%,10.80%,4.28,4.46,4.04,4.18,2.2,80.4,101.6,98.8
12828,Andrew Kittredge,RP,R,R,STL,35,6.1,5,5,1,74,0,70.2,8.5,2.5,1.3,0.263,81.80%,45.20%,14.10%,2.8,3.97,3.96,3.64,0.3,115.6,106.6,111.6
10233,Aroldis Chapman,RP,L,L,PIT,37,14,5,5,14,68,0,61.2,14.3,5.7,0.7,0.322,69.20%,44.80%,10.60%,3.79,2.98,3.04,3.14,1.1,134.1,95.6,105.9
13801,Austin Adams,RP,R,R,ATH,34,5.2,1,2,0,56,0,41.1,11.5,5,0.9,0.347,78.90%,36.60%,10.30%,3.92,4.08,4.47,4.64,0,100.6,90.5,97.3
15047,Austin Voth,RP,R,R,SEA,33,5.1,2,5,0,68,0,61,9,2.7,1.3,0.236,66.20%,34.80%,12.90%,3.69,3.14,4.12,3.93,0,99.3,100.3,98
13543,Blake Snell,SP,L,L,SFG,32,8.1,5,3,0,20,20,104,12.5,3.8,0.5,0.266,70.90%,42.00%,6.50%,3.12,2.57,2.43,3.01,3.1,122.3,97.8,104.1
12572,Blake Treinen,RP,R,R,LAD,37,10.1,7,3,1,50,0,46.2,10.8,2.1,1,0.255,89.70%,44.70%,11.10%,1.93,2.41,3,3.06,1,92.5,101.4,104.4
13942,Brent Suter,RP,L,L,CIN,35,7.2,1,0,2,47,3,65.2,6.9,1.6,1.4,0.272,82.80%,40.90%,12.30%,3.15,4.2,4.31,4.19,0.2,102.7,99.3,103.4
10061,Brooks Raley,RP,L,L,NYM,37,5,1,0,0,8,0,7,11.6,3.9,0,0.154,100.00%,30.80%,0.00%,0,3.24,1.88,3.61,0.3,103.5,108.1,112.7
19990,Bryse Wilson,SP,R,R,MIL,27,4,5,4,0,34,9,104.2,7.1,2.7,1.7,0.269,80.70%,37.80%,14.40%,4.04,5.35,5.09,4.61,-0.2,93.3,104.7,98.4
14814,Buck Farmer,RP,L,R,CIN,34,7.1,3,2,1,61,1,71,8.9,3.7,0.9,0.263,81.50%,35.80%,8.60%,3.04,4.14,4,4.44,0.6,92.8,99.6,100.5
12784,Burch Smith,RP,R,R,BAL,35,5.1,4,1,0,50,0,56.1,7.3,1.9,1,0.331,63.20%,43.80%,9.20%,4.95,4.46,3.66,4.02,0.3,105.3,100.5,100.7
19312,Cal Quantrill,SP,L,R,COL,30,5.1,8,11,0,29,29,148.1,6.7,4.2,1.4,0.3,75.10%,44.40%,14.90%,4.98,5.31,5.32,4.87,0.5,90.1,95.5,93.9
19349,Caleb Ferguson,RP,R,L,HOU,28,6.1,1,4,1,62,0,54.1,11.1,4.1,1,0.34,66.60%,46.70%,13.30%,4.64,4.11,3.74,3.55,0.3,88.4,103,98.1
10078,Caleb Thielbar,RP,R,L,MIN,38,6.1,2,4,3,59,0,47.1,10.1,4.6,1.1,0.331,62.50%,38.00%,10.90%,5.32,4.17,4.1,4.21,0.2,111.7,105.2,105
6632,Carlos Carrasco,SP,R,R,CLE,38,13.1,3,10,0,21,21,103.2,7.7,2.9,1.6,0.309,66.50%,46.50%,17.00%,5.64,4.71,4.93,4.18,0.1,87.6,99.6,96.7
14542,Carlos Estévez,RP,R,R,PHI,32,8,4,5,26,54,0,55,8.2,2,0.8,0.229,75.00%,32.90%,6.80%,2.45,3.19,3.24,4.09,1.2,112.1,104.2,105.7
4676,Charlie Morton,SP,R,R,ATL,41,16,8,10,0,30,30,165.1,9.1,3.5,1.3,0.306,74.20%,46.30%,15.80%,4.19,4.49,4.46,3.99,1.1,95.4,97.5,97.4
12763,Chris Devenski,RP,R,R,TBR,34,7.1,2,1,0,19,0,26.2,8.1,4.7,3,0.253,57.80%,25.00%,18.40%,6.75,5.9,7.33,5.72,-0.7,109.6,99.3,102.4
13896,Chris Flexen,SP,R,R,CHW,30,4.1,3,15,0,33,30,160,6.9,3.5,1.4,0.315,71.00%,35.60%,10.40%,4.95,4.71,4.8,5.03,1.3,56.2,97.3,91.9
11847,Chris Martin,RP,R,R,BOS,39,7.1,3,1,2,45,0,44.1,10.2,0.6,1,0.353,67.40%,46.30%,13.20%,3.45,3.41,2.78,2.61,0.9,97.9,112.2,107.1
13649,Clay Holmes,SP,R,R,NYY,32,6,3,5,30,67,0,63,9.7,3.1,0.6,0.322,70.50%,65.00%,11.80%,3.14,3.29,3.02,3.01,1.2,134.9,98.2,107.2
2036,Clayton Kershaw,SP,L,L,LAD,37,16.1,2,2,0,7,7,30,7.2,2.7,0.6,0.354,63.30%,38.50%,6.10%,4.5,4.59,3.53,4.33,0.6,100.6,100.4,99.5
19403,Colin Poche,RP,L,L,TBR,31,5.1,1,2,2,43,0,37.1,8,3.1,1.7,0.23,81.30%,33.30%,13.20%,3.86,3.86,4.88,4.59,-0.3,86.5,92.7,95.6
12317,Colin Rea,SP,R,R,MIL,34,5.1,12,6,1,32,27,167.2,7.2,2.3,1.6,0.282,76.60%,38.80%,13.70%,4.29,4.91,4.75,4.42,0.9,83.7,102.5,96.9
19361,Corbin Burnes,SP,R,R,BAL,30,6,15,9,0,32,32,194.1,8.4,2.2,1,0.269,75.50%,48.20%,11.60%,2.92,3.34,3.55,3.55,3.7,119.6,102.6,107
6655,Craig Kimbrel,RP,R,R,BAL,37,13.2,7,5,23,57,0,52.1,12.6,5.3,1.2,0.284,61.90%,32.00%,13.00%,5.33,4.31,4.18,4,0.1,111.6,95.6,100.5
19206,Dakota Hudson,SP,R,R,COL,30,5.1,2,12,0,18,18,89,5,5.1,1.1,0.304,63.50%,52.30%,12.50%,6.17,6.01,5.53,5.41,0,83.9,95.3,90.7
13293,Danny Coulombe,RP,L,L,BAL,35,6,1,0,1,33,0,29.2,9.7,1.5,0.9,0.179,82.30%,48.60%,10.70%,2.12,2.91,2.83,2.94,0.5,80.4,100.5,99.5
8241,David Robertson,RP,R,R,TEX,40,15.1,3,4,2,68,0,72,12.4,3.4,0.6,0.3,76.90%,48.80%,9.30%,3,3.19,2.65,2.88,1.9,119.3,99.6,105
17496,Diego Castillo,RP,R,R,MIN,31,4.2,0,0,0,7,0,10,5.4,7.2,0,0.276,81.30%,51.70%,0.00%,2.7,3.97,4.37,6.18,0,93.9,90.7,95.8
17796,Dillon Tate,RP,R,R,TOR,31,4.1,2,1,1,33,0,36.2,6.6,2.9,0.5,0.336,67.00%,49.60%,5.70%,4.66,3.83,3.71,4.45,0.2,99.3,95.6,95.8
17755,Drew Smith,RP,R,R,NYM,31,6,1,1,2,19,0,17.2,11.7,4.6,1,0.356,82.60%,25.50%,8.00%,3.06,4.43,3.56,4.23,0.2,117,101.5,103.4
11760,Drew Smyly,RP,L,L,CHC,36,12.1,4,8,0,50,0,58.2,8.6,3.8,1.5,0.288,78.90%,35.30%,13.70%,3.84,3.78,4.91,4.57,-0.3,91.9,100.6,101.4
13394,Dylan Floro,RP,L,R,ARI,34,7.1,6,4,0,66,0,68.2,6.3,2.2,0.7,0.288,68.40%,45.50%,7.10%,3.8,3.94,3.5,4.1,0.6,75,104,94.1
18403,Enyel De Los Santos,RP,R,R,CHW,29,4,1,2,2,64,0,64,9.3,3.5,2.4,0.291,80.10%,34.40%,19.50%,5.2,5.31,5.96,4.57,-0.9,90.7,103.5,99.5
14309,Frankie Montas,SP,R,R,MIL,32,7,7,11,0,30,30,150.2,8.8,3.9,1.4,0.282,68.90%,41.60%,14.80%,4.84,4.71,4.71,4.26,1.4,97.8,100.8,99.4
17490,Génesis Cabrera,RP,L,L,TOR,28,5,3,3,2,69,0,62.2,7.2,4.2,1.4,0.294,78.80%,42.80%,14.30%,3.59,4.4,5.13,4.74,-0.5,88,94.7,90.3
14986,Giovanny Gallegos,RP,R,R,STL,33,6,2,1,1,21,0,20.2,9.1,4.4,2.6,0.316,74.20%,47.60%,30.00%,6.53,4.65,6.36,4.05,-0.5,89.6,96.4,96.7
19867,Griffin Canning,SP,R,R,LAA,29,5.1,6,13,0,32,31,171.2,6.8,3.5,1.6,0.283,69.60%,40.70%,14.80%,5.19,4.74,5.26,4.75,0.2,87.6,97.7,96.9
11804,Héctor Neris,RP,R,R,HOU,36,9.1,10,5,18,62,0,59.1,9.7,4.2,1.2,0.297,73.20%,40.00%,11.90%,4.1,4.31,4.28,4.23,0,84.4,98.3,98.5
13346,Hoby Milner,RP,L,L,MIL,34,5.1,5,1,1,61,1,64.2,8.9,1.9,0.8,0.313,58.10%,51.90%,11.50%,4.73,3.24,3.14,3.15,0.9,102.6,106.6,103.6
7836,Hunter Strickland,RP,R,R,LAA,36,8,3,2,1,72,0,73.1,7,2.9,1.2,0.229,75.00%,35.70%,9.30%,3.31,3.49,4.45,4.88,0.3,102.8,100,104.4
17479,Jack Flaherty,SP,R,R,LAD,29,7,13,7,0,28,28,162,10.8,2.1,1.3,0.285,80.90%,39.50%,15.50%,3.17,3.54,3.48,3,3.2,94.1,102.4,101.5
12323,Jacob Barnes,RP,R,R,WSN,35,6.1,8,3,0,63,0,66,7.5,2.7,1.4,0.297,69.90%,37.60%,13.00%,4.36,4.91,4.38,4.17,0,95,100.7,99.8
19274,Jacob Webb,RP,R,R,BAL,31,4,2,5,2,60,0,56.2,9.2,4.3,0.6,0.245,72.10%,34.00%,6.30%,3.02,3.51,3.52,4.31,0.6,108.3,99,102.2
5003,Jake Diekman,RP,R,L,NYM,38,12,2,3,4,43,0,32,11.3,6.8,2,0.229,65.50%,44.70%,29.20%,5.63,5.11,6.14,4.43,-0.8,129,90.7,96.2
13619,Jakob Junis,SP,R,R,CIN,32,7,4,0,1,24,6,67,6.9,1.1,1.1,0.224,77.90%,38.70%,10.40%,2.69,3.8,3.69,3.87,0.9,99,107.9,108.4
17192,Jalen Beeks,RP,L,L,PIT,31,6,7,4,10,71,0,70,7.1,3.5,0.8,0.321,65.90%,45.10%,7.30%,4.5,3.8,4,4.65,0.6,78,93.8,89
7432,Jay Jackson,RP,R,R,MIN,37,2.1,1,2,0,20,0,26.1,9.9,3.1,2.4,0.304,47.80%,35.50%,21.90%,7.52,4.74,5.44,3.83,-0.3,97.4,102.2,97.4
17432,Jeff Hoffman,RP,R,R,PHI,32,6.1,3,3,10,68,0,66.1,12.1,2.2,0.8,0.278,80.20%,37.60%,9.40%,2.17,2.87,2.52,2.8,2,115.8,100.1,103.9
5448,Jesse Chavez,RP,R,R,ATL,41,14,2,2,0,46,0,63.1,7.8,2.7,1.4,0.279,80.30%,43.10%,15.90%,3.13,4.25,4.43,3.88,-0.2,83.8,102.2,95.9
9761,Joe Kelly,RP,R,R,LAD,37,12,1,1,0,35,0,32,9.8,4.5,1.1,0.325,71.10%,47.10%,14.80%,4.78,5.11,4.57,4.22,0,107.4,92.2,96.4
12972,Joe Ross,SP,R,R,MIL,32,7,3,6,0,25,10,74,8,3.5,0.9,0.298,72.70%,41.00%,7.50%,3.77,3.91,3.83,4.5,0.9,88.1,101.7,97.8
11487,Joely Rodríguez,RP,L,L,BOS,33,4.1,0,1,0,14,0,13.2,7.9,1.3,2,0.348,50.60%,59.20%,33.30%,5.93,4.87,4.92,3.06,-0.1,78.1,106,101.7
19320,Joey Lucchesi,SP,L,L,NYM,32,4.1,0,2,0,2,2,10.1,6.1,7,0.9,0.233,68.50%,44.80%,8.30%,5.23,6.05,5.39,5.89,0,75.1,90.5,83.1
12777,John Brebbia,RP,L,R,ATL,35,7.1,0,6,2,59,0,55.1,10.9,3.1,1.8,0.317,67.10%,29.60%,15.90%,5.86,4.87,4.52,3.82,0.1,100.9,102.4,103.4
16269,John Means,SP,L,L,BAL,32,6,2,0,0,4,4,20.2,7,0.9,0.9,0.237,80.20%,18.30%,5.90%,2.61,4.68,3.31,4.54,0.5,86.9,101.5,102
19753,Jonathan Loáisiga,RP,R,R,NYY,30,6,1,0,0,3,0,4,6.8,2.3,0,0.438,100.00%,56.30%,0.00%,0,4.28,2.42,3.17,0.1,104,105.9,110
7593,Jordan Lyles,SP,R,R,KCR,34,12,0,0,0,5,0,5,5.4,3.6,0,0.143,100.00%,42.90%,0.00%,0,4.28,3.17,5.59,0,88.3,97.2,91.9
